id,title,genres,popularity,release_date,budget,revenue,vote_average
804660,04:57,A,0.6,2020/8/3,10,10,10
107227,23:59,A,5.322,2011/11/3,600000,1208479,4.6
373449,2,A,8.382,2018/11/29,77000000,114629169,6.1
12244,9,A,47.004,2009/8/19,30000000,48428063,6.9
20714,12,A,7.104,2007/6/6,4000000,7537453,7.3
8065,21,A,31.37,2008/3/27,35000000,159808370,6.7
368006,24,A,5.459,2016/5/5,10000000,15000000,7.3
284564,31,A,9.969,2016/9/15,1500000,779820,5.4
109410,42,A,16.415,2013/4/12,40000000,95020213,7.1
3682,54,A,10.509,1998/8/28,13000000,16757163,5.8
601337,83,A,4.871,2021/12/23,36786988,25452983,6.8
19980,99,A,1.492,2009/5/15,3000000,6600000,6.5
1271,300,A,39.614,2007/3/7,65000000,422610419,7.2
3021,1408,A,21.881,2007/6/22,25000000,132963417,6.7
369126,1814,A,1.804,2007/12/27,3500000,2490500,7.3
76349,1911,A,8.45,2011/7/3,30000000,3807134,5.7
530915,1917,A,37.917,2019/12/25,100000000,374733942,8
14161,2012,A,129.199,2009/10/10,200000000,791217826,5.8
844,2046,A,10.815,2004/9/29,12000000,19271312,7.2
614696,Alive,A,65.756,2020/6/24,6300000,13416285,7.3
19913,500 Days of Summer,A,59.67,2009/7/17,7500000,60781545,7.3
9805,Raumschiff Surprise - Periode 1,A,8.542,2004/7/14,9000000,76341401,6.2
335031,Asu Mare! 2,A,8.803,2015/4/9,800,10,6.4
608441,ift'lik Bank: Tosun Firarda,A,0.6,2018/11/16,3,2,0
8202,on Flux,A,12.201,2005/11/30,62000000,53321673,5.6
80280,Genesis,A,37.85,2012/3/30,6400000,11019975,5.2
185341,Apocalypse,A,40.688,2014/10/31,3000000,4915757,5.6
178657,07th Changes Course,A,0.6,2007/4/12,1300000,95000,3.2
333371,10 Cloverfield Lane,A,28.713,2016/3/10,15000000,108286421,7
4951,10 Things I Hate About You,A,32.76,1999/3/30,16000000,53478166,7.6
7840,"10,000 BC",A,28.436,2008/2/22,105000000,269784201,5.4
14098,100 Feet,A,9.557,2008/7/22,10000000,1415804,5.5
506977,100W Bulb,A,0.6,2014/6/16,15000,50000,0
11674,101 Dalmatians,A,70.708,1996/11/27,54000000,320689294,5.9
10481,102 Dalmatians,A,11.835,2000/10/7,85000000,183611771,5.5
13197,10th & Wolf,A,6.188,2006/2/19,8000000,143451,5.9
18164,12 and Holding,A,3.718,2006/3/31,400000,314017,7
228674,12 Months,A,0.856,2013/9/5,2200000,1444235,0
17134,12 Rounds,A,69.87,2009/3/19,20000000,17280326,5.9
429351,12 Strong,A,33.924,2018/1/16,35000000,67450815,6.2
76203,12 Years a Slave,A,39.063,2013/10/18,20000000,187000000,7.9
402455,125 Years Memory,A,4.426,2015/12/5,15000000,6940000,7.8
44115,127 Hours,A,23.091,2010/11/12,18000000,35692920,7.1
58857,13 Assassins,A,67.268,2010/9/9,6000000,17555141,7.3
10096,13 Going on 30,A,33.992,2004/4/13,37000000,96455697,6.7
300671,13 Hours: The Secret Soldiers of Benghazi,A,65.747,2016/1/14,50000000,69411370,7.2
155084,13 Sins,A,13.526,2014/4/18,5000000,13809,6.3
1492,1492: Conquest of Paradise,A,17.619,1992/10/9,47000000,7191399,6.2
2749,15 Minutes,A,8.442,2001/3/1,60000000,56359980,5.9
2207,16 Blocks,A,13.7,2006/3/1,55000000,65664721,6.4
16996,17 Again,A,83.043,2009/3/11,20000000,136267476,6.3
87368,17 Girls,A,6.362,2011/6/13,4141459,201607,5.4
211968,18 & 1/2 Cigarettes,A,0.6,2011/4/9,200000,2038,5
630220,18 Presents,A,11.345,2020/1/2,2500000,3486375,7.5
467806,180 Seconds,A,0.6,2017/2/17,1,1,10
428741,1971: Beyond Borders,A,1.178,2017/4/7,2400000,1100000,5.2
500451,1976: O Ano da Invas??o Corinthiana,A,0.6,2016/9/29,30000,200000,10
437103,1987: When the Day Comes,A,15.349,2017/12/27,12308000,49380115,8
84165,2 Days in New York,A,7.369,2012/3/28,8000000,1653792,5.7
584,2 Fast 2 Furious,A,14.807,2003/6/5,76000000,236350661,6.4
136400,2 Guns,A,48.7,2013/8/2,61000000,131940411,6.5
32172,2 Harihar Nagar,A,1.983,2009/4/1,660000,3300000,5.7
259720,2 States,A,7.19,2014/4/17,4587786,22414611,6.6
